Número de informe,Nombre de la Evaluación,Etapa,Componente ambiental,Procedencia de la Muestra,Procedencia Especifica de la Muestra,Nombre del punto,Este,Norte,Altitud,Zona,Datum,Descripción de ubicación,Tipo de muestra,Tipo de análisis,Etapa de extracción secuencial,Fecha,Hora,Valor,Parámetro,Unidad de medida
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - HTP,No aplica,10/6/19,10:07:00,<1.9,Fracciones de Hidrocarburos F1 (C6-C10),mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - HTP,No aplica,10/6/19,10:07:00,<6.8,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - HTP,No aplica,10/6/19,10:07:00,<6.8,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Acenafteno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Acenaftileno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Antraceno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Benzo (a) Antraceno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Benzo (a) Pireno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,Benzo (b) Fluoranteno,mg/Kg
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Sedimento,Sedimento continental,Área de potencial interés,F05898_SD01,468461,9507737,0,17,WGS 84,Muestra puntual de sedimentos tomada a 4m en dirección norte del pozo y ubicado en la zona intermareal,Simple,Ensayo por cromatografía - PAHS,No aplica,10/6/19,10:07:00,<0.0054,"Benzo (g,h,i) Perileno",mg/Kg
