Número de informe,Nombre de la Evaluación,Etapa,Componente ambiental,Procedencia de la Muestra,Procedencia Especifica de la Muestra,Nombre del punto,Este,Norte,Altitud,Zona,Datum,Descripción de ubicación,Tipo de muestra,Tipo de análisis,Fecha,Hora,Valor,Parámetro,Unidad de medida
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Fisico Químicos,1/14/19,5:54:00 PM,<0.100,Aceites y grasas,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Aniones por Cromatografía Iónica,1/14/19,5:54:00 PM,"0,233",Cloruros,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000013,Acenafteno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000013,Acenaftileno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000016,Antraceno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000009,Benzo (a) Antraceno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000013,Benzo (a) Pireno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000016,Benzo (b) Fluoranteno,mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000009,"Benzo (g,h,i) Perileno",mg/L
INFORME N° 00055-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F01861,Segundo monitoreo,Agua,Agua natural superficial,Agua superficial de río,F01861-AG01,601347,9506175,76,18,WGS84,Punto ubicado en el río Tigre a 9 m de la orilla y a 10 m en dirección oeste del Pozo 08M_1.,Simple,Ensayo por cromatografía - PAHS,1/14/19,5:54:00 PM,<0.000009,Benzo (k) Fluoranteno,mg/L
