Número de informe,Nombre de la Evaluación,Etapa,Componente ambiental,Procedencia de la Muestra,Procedencia Especifica de la Muestra,Nombre del punto,Este,Norte,Altitud,Zona,Datum,Descripción de ubicación,Tipo de muestra,Tipo de análisis,Etapa de extracción secuencial,Caracterización de la muestra,Fecha,Hora,Valor,Parámetro,Unidad de medida
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU01,478216,9526380,275,17,WGS84,Muestra puntual de suelo tomada a 1.3 m en dirección suroeste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:12:00 AM,514,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU01,478216,9526380,275,17,WGS84,Muestra puntual de suelo tomada a 1.3 m en dirección suroeste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:12:00 AM,3795,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU01,478216,9526380,275,17,WGS84,Muestra puntual de suelo tomada a 1.3 m en dirección suroeste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:12:00 AM,<0.3,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU01,478216,9526380,275,17,WGS84,Muestra puntual de suelo tomada a 1.3 m en dirección suroeste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:12:00 AM,4310,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU02,478224,9526389,275,17,WGS84,Muestra puntual de suelo tomada a 8.4 m en dirección noreste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:21:00 AM,<5.00,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU02,478224,9526389,275,17,WGS84,Muestra puntual de suelo tomada a 8.4 m en dirección noreste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:21:00 AM,<5.00,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU02,478224,9526389,275,17,WGS84,Muestra puntual de suelo tomada a 8.4 m en dirección noreste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:21:00 AM,<0.30,Fracción de Hidrocarburos F1 (C5-C10),mg/Kg
INFORME N° 00003-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05447,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05447-SU02,478224,9526389,275,17,WGS84,Muestra puntual de suelo tomada a 8.4 m en dirección noreste de la ubicación del pozo y a una profundidad de 0.3 m de la superficie del suelo.,Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/7/17,11:21:00 AM,<5.00,Hidrocarburos totales de petróleo (C5-C40),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU01,479882,9527330,271,17,WGS84,"Muestra puntual de suelo tomada a 2 m en dirección sureste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:41:00 PM,2389,Fracciones de Hidrocarburos F2 (C10-C28),mg/Kg
INFORME N° 00007-2017-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha OEFA F05461,Primer monitoreo,Suelo,Suelo,Área de potencial interés,F05461-SU01,479882,9527330,271,17,WGS84,"Muestra puntual de suelo tomada a 2 m en dirección sureste de la ubicación del pozo y a una profundidad de 0,4 m de la superficie del suelo",Simple,No aplica,No aplica,Ensayo por cromatografía - HTP,11/3/17,2:41:00 PM,4039,Fracciones de Hidrocarburos F3 (C28-C40),mg/Kg
