"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","19/4/2002","11.37","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","20/4/2002","11.83","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","21/4/2002","9.77","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","22/4/2002","8.22","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","23/4/2002","14.23","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","24/4/2002","13.55","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Método de Referencia Activo de la EPA)","25/4/2002","8.63","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","19/4/2002","13.00","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","20/4/2002","18.89","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","21/4/2002","12.13","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","22/4/2002","12.34","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","23/4/2002","20.93","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","24/4/2002","14.78","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Método de Referencia Activo de la EPA)","25/4/2002","16.66","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","19/4/2002","10.98","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","20/4/2002","8.71","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","21/4/2002","7.99","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","22/4/2002","8.42","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","23/4/2002","9.45","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","24/4/2002","7.37","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Método de Referencia Activo de la EPA)","25/4/2002","7.65","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","19/4/2002","9.15","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","20/4/2002","14.81","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Método de Referencia Activo de la EPA)","21/4/2002","10.02","2002"
