"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","20/4/2002","76.17","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","21/4/2002","67.05","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","22/4/2002","70.20","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","23/4/2002","82.00","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","24/4/2002","91.37","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","25/4/2002","68.56","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Automático (Microbalanza Oscilatoria)","26/4/2002","79.85","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","31/1/2013","78.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","6/2/2013","100.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","13/2/2013","91.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","19/2/2013","102.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","25/2/2013","95.00","2013"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Impactadores Harvard)","7/3/2013","100.00","2013"
