"DEPARTAMENTO","PROVINCIA","DISTRITO","COD_VAL","NOMBRE_ESTACION_VAL","METODOLOGÍA","FECHA","CONCENTRACIÓN (µg/m³)","AÑO"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","19/4/2002","9.29","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","20/4/2002","6.80","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","21/4/2002","6.53","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","22/4/2002","7.90","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","23/4/2002","10.46","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","24/4/2002","23.94","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","25/4/2002","15.43","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","19/4/2002","5.82","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","20/4/2002","11.96","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","21/4/2002","4.83","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","22/4/2002","7.67","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","23/4/2002","26.61","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","24/4/2002","4.76","2002"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","25/4/2002","16.28","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","19/4/2002","11.08","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","20/4/2002","4.43","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","21/4/2002","5.47","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","22/4/2002","4.32","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","23/4/2002","27.05","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","24/4/2002","9.30","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-03","SENAMHI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","25/4/2002","12.58","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","19/4/2002","6.68","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","20/4/2002","22.86","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","21/4/2002","6.12","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","22/4/2002","4.40","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","23/4/2002","32.51","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","24/4/2002","19.75","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","25/4/2002","21.59","2002"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","11/11/2003","33.90","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","12/11/2003","10.80","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","13/11/2003","38.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","14/11/2003","16.30","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","15/11/2003","21.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","16/11/2003","6.80","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-01","Centro de Idiomas UNPRG","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","17/11/2003","10.00","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","11/11/2003","2.20","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","12/11/2003","7.00","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","13/11/2003","8.60","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","14/11/2003","5.70","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","15/11/2003","8.00","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","16/11/2003","23.10","2003"
"LAMBAYEQUE","CHICLAYO","LEONARDO ORTIZ","E-02","C.S. José Leonardo Ortiz","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","17/11/2003","38.40","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","11/11/2003","22.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","12/11/2003","11.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","13/11/2003","13.90","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","14/11/2003","11.10","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","15/11/2003","3.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","16/11/2003","4.80","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-04","DESA Chiclayo","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","17/11/2003","4.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","11/11/2003","17.80","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","12/11/2003","7.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","13/11/2003","15.20","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","14/11/2003","20.60","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","15/11/2003","10.00","2003"
"LAMBAYEQUE","CHICLAYO","CHICLAYO","E-05","DEPOLTI","Activo (Thorin NILU 1997 ISO 14221 1983/1990)","16/11/2003","5.70","2003"
