Código Modular;Nombre de SS.EE.;Ubigeo;Departamento;Provincia;Distrito;Código DRE/UGEL;DRE / UGEL;Centro Poblado;Código Centro Poblado;Código Local;Dirección;Nivel / Modalidad;Gestion / Dependencia;Latitud;Longitud;Altitud;Fuente de coordenadas;fecha de corte
2751008;SAGRADA FAMILIA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;4 DE NOVIEMBRE;557842;592244;MZ A LOTE 8;Inicial No Escolarizado;Pública - Sector Educación;-6.763016;-79.866169;30;MED_REG (LOCAL);01/07/2025
1627611;MADRE CATERINA COROMINA AGUSTI;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;9 DE OCTUBRE;556699;693355;CALLE LOS ROBLES 535;Inicial - Cuna Jardín;Privada - Parroquial;-6.77473;-79.8633;29;UBICACION_WEB_MED (LOCAL);01/07/2025
2647706;MI MUNDO MAGICO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;AMPLIACION TUPAC AMARU;558760;0;PASAJE ZANDIA S/N;Inicial No Escolarizado;Pública - Sector Educación;-6.764374;-79.858179;28;MED_REG (LOCAL);01/07/2025
3948571;PASITO A PASITO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;ASOCIACION DE POBLADORES DE VIVIENDA NUEVO HORIZONTE;683584;0;MZ A LOTE 36;Inicial No Escolarizado;Pública - Sector Educación;-6.745151;-79.789308;42;UBICACION_WEB (LOCAL);01/07/2025
1460633;ISA CHICLAYO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140000;DRE LAMBAYEQUE;CAMPODONICO;121675;583941;CALLE LEONCIO PRADO 1575;Superior Tecnológica;Privada - Particular;-6.76962;-79.83109;32;UBICACION_WEB_MED (LOCAL);01/07/2025
3970948;SONRISA GIGANTE;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CESAR VALLEJO;553680;0;CALLE LOS ARREROS S/N;Inicial No Escolarizado;Pública - Sector Educación;-6.761943;-79.82519;33;MED_REG (LOCAL);01/07/2025
343988;002 MARAVILLAS DE JESUS;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275631;CALLE SILVA SALGADO S/N;Inicial - Cuna Jardín;Pública - Sector Educación;-6.7841;-79.84052;26;UBICACION_WEB_MED (LOCAL);01/07/2025
343996;003 LOS PASTORCITOS DE LA VIRGEN DE FATIMA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275443;CALLE FRANCISCO PIZARRO 499;Inicial - Jardín;Pública - Sector Educación;-6.7642;-79.8279;33;UBICACION_WEB (LOCAL);01/07/2025
344002;004 ANGELITOS DE MARIA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275457;AVENIDA VICTOR RAUL HAYA DE LA TORRE 269;Inicial - Cuna Jardín;Pública - Sector Educación;-6.7787;-79.8346;30;UBICACION_WEB_MED (LOCAL);01/07/2025
344077;010 CAPULLITO DE AMOR;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275462;CALLE LAS MARGARITAS 1ERA CUADRA S/N;Inicial - Jardín;Pública - Sector Educación;-6.77513;-79.85297;28;UBICACION_WEB_MED (LOCAL);01/07/2025
