Código Modular;Anexo;Nombre de SS.EE.;Ubigeo;Departamento;Provincia;Distrito;Código DRE/UGEL;DRE / UGEL;Centro Poblado;Código Centro Poblado;Código Local;Dirección;Nivel / Modalidad;Gestion / Dependencia;Latitud;Longitud;Altitud;Fuente de coordenadas
2751008;0;SAGRADA FAMILIA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;4 DE NOVIEMBRE;557842;592244;MZ A LOTE 8;Inicial No Escolarizado;Pública - Sector Educación;-6.76301600;-79.86616900;30;MED_REG (LOCAL)
1627611;0;MADRE CATERINA COROMINA AGUSTI;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;9 DE OCTUBRE;556699;693355;CALLE LOS ROBLES 535;Inicial - Cuna Jardín;Privada - Parroquial;-6.77473000;-79.86330000;29;UBICACION_WEB_MED (LOCAL)
2647706;0;MI MUNDO MAGICO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;AMPLIACION TUPAC AMARU;558760;null;PASAJE ZANDIA S/N;Inicial No Escolarizado;Pública - Sector Educación;-6.76437400;-79.85817900;28;MED_REG (LOCAL)
3948571;0;PASITO A PASITO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;ASOCIACION DE POBLADORES DE VIVIENDA NUEVO HORIZONTE;683584;null;MZ A LOTE 36;Inicial No Escolarizado;Pública - Sector Educación;-6.74515100;-79.78930800;42;UBICACION_WEB (LOCAL)
1460633;0;ISA CHICLAYO;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140000;DRE LAMBAYEQUE;CAMPODONICO;121675;583941;CALLE LEONCIO PRADO 1575;Superior Tecnológica;Privada - Particular;-6.76962000;-79.83109000;32;UBICACION_WEB_MED (LOCAL)
3970948;0;SONRISA GIGANTE;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CESAR VALLEJO;553680;null;CALLE LOS ARREROS S/N;Inicial No Escolarizado;Pública - Sector Educación;-6.76194300;-79.82519000;33;MED_REG (LOCAL)
0343988;0;002 MARAVILLAS DE JESUS;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275631;CALLE SILVA SALGADO S/N;Inicial - Cuna Jardín;Pública - Sector Educación;-6.78410000;-79.84052000;26;UBICACION_WEB_MED (LOCAL)
0343996;0;003 LOS PASTORCITOS DE LA VIRGEN DE FATIMA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275443;CALLE FRANCISCO PIZARRO 499;Inicial - Jardín;Pública - Sector Educación;-6.76420000;-79.82790000;33;UBICACION_WEB (LOCAL)
0344002;0;004 ANGELITOS DE MARIA;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275457;AVENIDA VICTOR RAUL HAYA DE LA TORRE 269;Inicial - Cuna Jardín;Pública - Sector Educación;-6.77870000;-79.83460000;30;UBICACION_WEB_MED (LOCAL)
0344077;0;010 CAPULLITO DE AMOR;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;140001;CHICLAYO;CHICLAYO;121675;275462;CALLE LAS MARGARITAS 1ERA CUADRA S/N;Inicial - Jardín;Pública - Sector Educación;-6.77513000;-79.85297000;28;UBICACION_WEB_MED (LOCAL)
