departamento,provincia,distrito,anio,semana,sub_reg_nt,ubigeo,ira_no_neumonia,neumonias_men5,neumonias_60mas,hospitalizados_men5,hospitalizados_60mas,defunciones_men5,defunciones_60mas
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,1,13,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,1,14,140101,321,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,2,14,140101,395,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,3,14,140101,265,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,3,50,140101,2,3,0,1,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,4,14,140101,276,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,4,50,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,5,14,140101,287,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,5,50,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,6,14,140101,249,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,6,50,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,7,14,140101,192,2,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,7,50,140101,2,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,8,14,140101,253,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,9,14,140101,321,3,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,9,50,140101,4,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,10,14,140101,350,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,11,14,140101,477,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,11,50,140101,2,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,12,13,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,12,14,140101,418,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,12,50,140101,1,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,13,14,140101,485,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,14,14,140101,456,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,15,13,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,15,14,140101,575,5,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,15,50,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,16,13,140101,0,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,16,14,140101,589,2,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,16,50,140101,2,1,0,1,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,17,13,140101,1,0,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,17,14,140101,624,1,0,0,0,0,0
LAMBAYEQUE,CHICLAYO,CHICLAYO,2010,17,50,140101,1,0,0,0,0,0,0
