Provincia;Distrito;Semana;Sin signos de alarma;Con signos de alarma;Grave;Sin signos de alarma;Con signos de alarma;Grave;Sin signos de alarma;Con signos de alarma;Grave
CHICLAYO;CHICLAYO;1;1;0;0;3;0;0;4;0;0
CHICLAYO;CHICLAYO;2;1;1;0;2;0;0;3;1;0
CHICLAYO;CHICLAYO;3;3;0;0;1;0;0;4;0;0
CHICLAYO;CHICLAYO;4;3;0;0;2;0;0;5;0;0
CHICLAYO;CHICLAYO;5;1;0;0;4;0;0;5;0;0
CHICLAYO;CHICLAYO;6;3;0;0;1;0;0;4;0;0
CHICLAYO;CHONGOYAPE;1;0;0;0;1;0;0;1;0;0
CHICLAYO;CHONGOYAPE;2;1;0;0;2;0;0;3;0;0
CHICLAYO;CHONGOYAPE;3;1;0;0;2;0;0;3;0;0
CHICLAYO;CHONGOYAPE;4;0;0;0;0;0;0;0;0;0
CHICLAYO;CHONGOYAPE;5;1;0;0;0;0;0;1;0;0
CHICLAYO;CHONGOYAPE;6;0;0;0;1;0;0;1;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;1;1;0;0;1;0;0;2;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;2;0;0;0;0;0;0;0;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;3;1;0;0;0;0;0;1;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;4;0;0;0;0;0;0;0;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;5;1;0;0;0;0;0;1;0;0
CHICLAYO;JOSE LEONARDO ORTIZ;6;1;1;0;1;0;0;2;1;0
CHICLAYO;LA VICTORIA;1;1;0;0;1;0;0;2;0;0
CHICLAYO;LA VICTORIA;2;0;0;0;4;0;0;4;0;0
CHICLAYO;LA VICTORIA;3;1;0;0;5;0;0;6;0;0
CHICLAYO;LA VICTORIA;4;1;1;0;5;0;0;6;1;0
CHICLAYO;LA VICTORIA;5;2;0;0;7;0;0;9;0;0
CHICLAYO;LA VICTORIA;6;0;0;0;3;0;0;3;0;0
CHICLAYO;LAGUNAS;1;0;0;0;0;0;0;0;0;0
CHICLAYO;LAGUNAS;2;0;0;0;0;0;0;0;0;0
CHICLAYO;LAGUNAS;3;0;0;0;0;0;0;0;0;0
CHICLAYO;LAGUNAS;4;0;0;0;0;0;0;0;0;0
CHICLAYO;LAGUNAS;5;1;0;0;0;0;0;1;0;0
CHICLAYO;LAGUNAS;6;0;0;0;0;0;0;0;0;0
CHICLAYO;MONSEFU;1;0;0;0;0;0;0;0;0;0
CHICLAYO;MONSEFU;2;0;0;0;1;0;0;1;0;0
CHICLAYO;MONSEFU;3;0;0;0;0;1;0;0;1;0
CHICLAYO;MONSEFU;4;0;0;0;0;0;0;0;0;0
CHICLAYO;MONSEFU;5;0;0;0;3;0;0;3;0;0
CHICLAYO;MONSEFU;6;0;1;0;0;0;0;0;1;0
CHICLAYO;OYOTUN;1;0;0;0;0;0;0;0;0;0
CHICLAYO;OYOTUN;2;0;0;0;0;0;0;0;0;0
CHICLAYO;OYOTUN;3;0;0;0;0;0;0;0;0;0
CHICLAYO;OYOTUN;4;0;0;0;1;0;0;1;0;0
CHICLAYO;OYOTUN;5;0;0;0;1;0;0;1;0;0
CHICLAYO;OYOTUN;6;1;0;0;0;1;0;1;1;0
CHICLAYO;PATAPO;1;0;0;0;2;0;0;2;0;0
CHICLAYO;PATAPO;2;2;0;0;3;0;0;5;0;0
CHICLAYO;PATAPO;3;0;0;0;1;0;0;1;0;0
CHICLAYO;PATAPO;4;0;0;0;3;0;0;3;0;0
CHICLAYO;PATAPO;5;0;0;0;1;1;0;1;1;0
CHICLAYO;PATAPO;6;0;0;0;1;0;0;1;0;0
CHICLAYO;PIMENTEL;1;0;0;0;0;0;0;0;0;0
CHICLAYO;PIMENTEL;2;0;0;0;0;0;0;0;0;0
CHICLAYO;PIMENTEL;3;0;0;0;1;0;0;1;0;0
CHICLAYO;PIMENTEL;4;0;0;0;0;0;0;0;0;0
CHICLAYO;PIMENTEL;5;0;0;0;1;0;0;1;0;0
CHICLAYO;PIMENTEL;6;0;0;0;1;0;0;1;0;0
CHICLAYO;POMALCA;1;0;1;0;2;0;0;2;1;0
CHICLAYO;POMALCA;2;0;0;0;5;0;0;5;0;0
CHICLAYO;POMALCA;3;0;0;0;1;0;0;1;0;0
CHICLAYO;POMALCA;4;0;0;0;1;0;0;1;0;0
CHICLAYO;POMALCA;5;0;0;0;4;0;0;4;0;0
CHICLAYO;POMALCA;6;0;0;0;5;1;0;5;1;0
CHICLAYO;PUCALA;1;0;0;0;0;0;0;0;0;0
CHICLAYO;PUCALA;2;0;0;0;0;0;0;0;0;0
CHICLAYO;PUCALA;3;0;0;0;0;0;0;0;0;0
