Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,Diagnostico,Atendidos,Atenciones
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,1 - 4,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),1,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,TRASTORNO CONSUMO DE ALCOHOL,1,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,TRASTORNO DEPRESIVO,4,5
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,15 - 17,TRASTORNO CONSUMO DE OTRAS DROGAS,2,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,25 - 29,ANSIEDAD,4,4
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,25 - 29,TRASTORNO CONSUMO DE OTRAS DROGAS,1,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,ANSIEDAD,2,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,80  +,ANSIEDAD,1,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,10 - 11,TRASTORNO DEL COMPORTAMIENTO (F90 - F91),2,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30 - 39,ANSIEDAD,7,13
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,40 - 59,ANSIEDAD,8,16
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,60 - 79,TRASTORNO DEPRESIVO,1,4
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18 - 24,TRASTORNO DEPRESIVO,1,3
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,12 - 14,TRASTORNO DEPRESIVO,0,2
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,15 - 17,TRASTORNO DEPRESIVO,1,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,30 - 39,ANSIEDAD,3,3
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,40 - 59,ANSIEDAD,2,3
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,60 - 79,TRASTORNO DEPRESIVO,8,8
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,18 - 24,TRASTORNO DEPRESIVO,1,1
