Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,GrupoTamizaje,DetalleTamizaje,Casos
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,3
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,2
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,7
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,7
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,45
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,80  +,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,29
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,10
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE DROGAS,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,5 - 9,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,77
2017,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,60 - 79,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,24
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30 - 39,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,19
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,55
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,60 - 79,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,4
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,5
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,2
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,4
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,23
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,32
2017,1,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,30 - 39,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,7
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,12
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,8
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,21
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,60 - 79,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,3
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,11
2017,1,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,15 - 17,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,125
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,30 - 39,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,30 - 39,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,40 - 59,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,5
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,4
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,1,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,5
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,10 - 11,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,10
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,11
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,25 - 29,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,25 - 29,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,1,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,22
