periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,326,Participación en grupo armado dirigido por extranjero,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,CONTRA EL ESTADO Y LA DEFENSA NACIONAL (Sin especificar delito subgenérico),S/Art,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,DELITOS QUE COMPROMETEN LAS RELACIONES EXTERIORES DEL ESTADO,336,Atentado contra persona que goza de protección internacional,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL HONOR,CONTRA EL HONOR (Sin especificar delito subgenérico),S/Art,CONTRA EL HONOR,12,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",130,Injuria,11,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación,12,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",S/Art,"INJURIA, CALUMNIA Y DIFAMACIÓN",7,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,"ACAPARAMIENTO, ESPECULACION, ADULTERACION",234,Especulación,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,CONTRA EL ORDEN ECONOMICO (Sin especificar delito subgenérico),S/Art,DELITOS CONTRA EL ORDEN ECONÓMICO,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,DE OTROS DELITOS ECONOMICOS,241,"Fraude en remates, licitaciones y concursos públicos",1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,DE OTROS DELITOS ECONOMICOS,243-A,Funcionamiento ilegal de casinos de juego,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,DESEMPEÑO DE ACTIVIDADES NO AUTORIZADAS,243-C,Funcionamiento ilegal de juegos de casino y máquinas tragamonedas,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,VENTA ILICITA DE MERCADERIAS,237,Venta ilegal de mercaderías,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN ECONOMICO,VENTA ILICITA DE MERCADERIAS,S/Art,VENTA ILÍCITA DE MERCADERÍAS,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,CONTRA EL ORDEN FINANCIERO Y MONETARIO (Sin especificar delito subgenérico),S/Art,CONTRA EL ORDEN FINANCIERO Y MONETARIO,5,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,244,Concentración crediticia,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,247,Financiamiento por medio de información fraudulenta,6,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,248,Condicionamiento de créditos,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,S/Art,DELITOS FINANCIEROS,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,252,Fabricación y falsificación de moneda de curso legal,13,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa,46,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,S/Art,DELITOS MONETARIOS,47,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado,137,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado,2,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-C,Robo de ganado ,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,S/Art,ABIGEATO,59,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común,405,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,191,Sustracción de bien propio,5,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,192,Apropiación irregular,8,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,193,Apropiación de prenda,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,S/Art,APROPIACIÓN ILÍCITA,140,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,CONTRA EL PATRIMONIO (Sin especificar delito subgenérico),S/Art,CONTRA EL PATRIMONIO,4504,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,205,Daño simple,457,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,206,Formas agravadas,85,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,207,Producción o venta de alimentos en mal estado para los animales,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,206-A,Abandono y actos de crueldad contra animales domésticos y silvestres,38,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,DAÑOS,S/Art,DAÑOS,1523,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,196,Estafa,1002,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,197,Casos de defraudación,52,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,196-A,Estafa agravada,41,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,S/Art,ESTAFA Y OTRAS DEFRAUDACIONES,55,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,EXTORSION,200,Extorsión.,211,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,EXTORSION,201,Chantaje,24,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,EXTORSION,S/Art,EXTORSIÓN,32,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,LAMBAYEQUE,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,FRAUDE EN LA ADMINISTR. DE PERS. JURID.,198,Administración fraudulenta,25,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,14/06/2023
