periodo_denuncia;anio_denuncia;fecha_descarga;distrito_fiscal;especialidad;tipo_caso;generico;subgenerico;articulo;des_articulo;cantidad;ubigeo_pjfs;dpto_pjfs;prov_pjfs;dist_pjfs;fecha_corte
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ESTADO Y LA DEFENSA NACIONAL;ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA;328;Formas agravadas ;1;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ESTADO Y LA DEFENSA NACIONAL;ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA;333;Provocación pública a la desobediencia militar;1;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ESTADO Y LA DEFENSA NACIONAL;DELITOS QUE COMPROMETEN LAS RELACIONES EXTERIORES DEL ESTADO;343;Actos de hostilidad ordenados por beligerantes;1;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL HONOR;CALUMNIA Y DIFAMACION;130;Injuria;7;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL HONOR;CALUMNIA Y DIFAMACION;131;Calumnia;15;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL HONOR;CALUMNIA Y DIFAMACION;132;Difamación;28;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;ABUSO DEL PODER ECONOMICO;232;Abuso del poder económico;1;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;ACAPARAMIENTO;235;Adulteracion;4;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ORDEN ECONOMICO;DESEMPEÑO DE ACTIVIDADES NO AUTORIZADAS;243-B;Desempeño de actividades no autorizadas.;2;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;246;Instituciones financieras ilegales;1;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
ENERO - DICIEMBRE;2023;01/08/2024;LAMBAYEQUE;PENAL;DENUNCIA;CONTRA EL ORDEN FINANCIERO Y MONETARIO;DELITOS FINANCIEROS;247;Financiamiento por medio de información fraudulenta;5;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;24/01/2024
