ANIO;MES;CCDD;DEPARTAMENTO;PROVINCIA;DISTRITO;COMISARIA;categoria;Denuncias por comision;Valor
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;F1_TOTAL;F1_TOTAL;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_EXPLOTACION SEXUAL;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_EXPLOTACION LABORAL;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_MENDICIDAD;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_TRABAJOS Y SERVICIOS FORZADOS;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_VENTA DE NIÑOS;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_TRAFICO DE ORGANOS TEJIDO HUMANO;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;FINALIDAD DEL TIPO DE DELITO;F1_NO IDENTIFICADO;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_TOTAL;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_PROSTIBULO;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_NIGHT CLUB;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_DISCOTECA;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_ESTUDIO DE MODELAJE;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_CENTRO DE MASAJES;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_CENTRO DE PRODUCCION DE PORNOGRAFIA;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_FABRICA ARTESANAL DE LADRILOS;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_SEGREGACION DE BASURA;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_MINERIA ARTESANAL;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_TALA ILEGAL DE LA MADERA;0
2017;1;14;LAMBAYEQUE;CHICLAYO;CHICLAYO;CESAR LLATAS CASTRO;EXPLOTACIÓN;F2_SERVICIO DOMESTICO;0
